place,budget,family,crowd,best_months
Phong Nha,210000,0.9,0.8,mar-apr-may-jun-jul-aug
Hang Sơn Đoòng,79500000,0.1,0.1,jan-feb-mar-apr-may-jun-jul-aug
Hang Va,9200000,0.2,0.1,jan-feb-mar-apr-may-jun-jul-aug
Biển Nhật Lệ,0,0.9,0.7,apr-may-jun-jul-aug
Cồn cát Quang Phú,0,0.7,0.5,apr-may-jun-jul
Vũng Chùa – Đảo Yến,0,0.8,0.5,mar-apr-may-jun-jul-aug
Quảng Bình Quan,0,0.9,0.4,all-year
Tượng đài Mẹ Suốt,0,0.9,0.4,all-year
Đền thờ Liễu Hạnh,0,0.8,0.3,all-year
Biển Đá Nhảy,0,0.7,0.5,apr-may-jun-jul-aug
Mộ Đại Tướng Võ Nguyên Giáp,0,0.8,0.7,all-year
Thành cổ Đồng Hới ,0,0.8,0.3,all-year
Mũi Trèo,0,0.4,0.3,mar-apr-may-jun-jul-aug
Thánh địa La Vang,0,0.9,0.6,all-year
Sông Đakrông,0,0.6,0.2,feb-mar-apr-may-jun-jul-aug
"Núi Talung, núi Klu",0,0.3,0.1,feb-mar-apr-may-jun-jul-aug
Thành cổ Quảng Trị,0,0.9,0.5,all-year
Địa đạo Vịnh Mốc,50000,0.6,0.6,feb-mar-apr-may-jun-jul-aug
Làng cổ Bích La,0,0.8,0.2,all-year
Đảo Cồn Cỏ,0,0.6,0.3,mar-apr-may-jun
Chợ phiên Cam Lộ,0,0.8,0.5,all-year
Nghĩa trang Trường Sơn,0,0.9,0.4,all-year
Biển Cửa Việt,0,0.9,0.6,apr-may-jun-jul-aug
Chợ Đông Hà,0,0.8,0.7,all-year
Khe Sanh,50000,0.8,0.4,feb-mar-apr-may-jun-jul-aug
Cửa khẩu Lao Bảo,0,0.6,0.6,all-year
Bản Vân Kiều,0,0.6,0.2,feb-mar-apr-may-jun-jul-aug
Đại Nội Huế,200000,0.8,0.9,feb-mar-apr
Lăng Cô,0,0.9,0.6,mar-apr-may-jun-jul-aug
Lăng Tự Đức,150000,0.8,0.7,feb-mar-apr
Lăng Minh Mạng,150000,0.7,0.6,feb-mar-apr
Sông Hương,0,0.9,0.7,feb-mar-apr-may-jun-jul-aug
Chợ Đông Ba,0,0.7,0.8,all-year
Núi Ngự Bình,0,0.5,0.3,feb-mar-apr
Đồi Vọng Cảnh,0,0.8,0.5,feb-mar-apr-may
Làng nón Phú Cam,0,0.8,0.2,all-year
Làng hương Thủy Xuân,0,0.9,0.8,feb-mar-apr-may
Nhà vườn An Hiên,50000,0.9,0.3,feb-mar-apr-may
Chùa Thiên Mụ,0,0.8,0.8,feb-mar-apr-may
Đầm Chuồn,150000,0.7,0.4,mar-apr-may-jun-jul-aug
Vườn Quốc gia Bạch Mã,65000,0.5,0.5,mar-apr-may-jun-jul-aug
Cầu qua Phá Tam Giang,0,0.9,0.3,feb-mar-apr-may-jun-jul-aug
